"County","ARIMA","HW","Time_Period"
"Niagara",16.8272715180113,4.89044137715996,20
"Niagara",17.5996676235213,9.95827192736122,21
"Niagara",9.80629146894013,-0.55318334835358,22
"Niagara",5.78950288422996,1.33208505472281,23
"Niagara",6.08147665440824,2.11797280161625,24
"Niagara",4.06250488273972,0.474323810863404,25
"Niagara",2.53344946444563,-2.29309604100201,26
"Niagara",2.62868681470061,-1.67967456851449,27
"Niagara",1.68286975908598,-2.82179651048768,28
"Niagara",0.700577235423962,-2.01820667043022,29
"Niagara",1.86011436797032,-0.479666922719176,30
"Niagara",0.372868477925668,-1.88877813261768,31
"Niagara",0.440132578474102,-0.0153927068703756,32
"Niagara",0.589961866703478,0.648288233735792,33
"Niagara",0.435618199144412,0.124347353742254,34
"Niagara",0.448543913481611,0.859716601233977,35
"Niagara",0.461469627817247,1.12707248955876,36
"Niagara",0.474395342155898,1.19657284900642,37
"Niagara",0.48732105648861,1.21018990902525,38
"Niagara",0.500246770833252,1.20663883445193,39
"Niagara",0.513172485153797,1.18981802497933,40
"Niagara",0.526098199521703,1.16713053404366,41
"Niagara",0.539023913790939,1.13309650758974,42
"Niagara",0.551949628249913,1.07576866768748,43
"Niagara",0.564875342316474,1.00319201038749,44
"Niagara",0.577801057184532,0.921027986063432,45
"Niagara",0.590726770593407,0.813530753755526,46
"Niagara",0.603652487526722,0.690544373961766,47
"Niagara",0.616578198957432,0.562275175805484,48
"Niagara",0.629503924105713,0.439560388876714,49
"Niagara",0.642429621743661,0.350144781633145,50
"Niagara",0.655355353981092,0.29426678436093,51
"Niagara",0.668280920643426,0.268803893110219,52
"Niagara",0.682937698587645,0.303422739289241,53
"Niagara",0.697759293667189,0.197556564336528,54
"Niagara",0.712886397580256,0.163278927641308,55
"Niagara",0.727959924867758,0.159657523342195,56
"Niagara",0.74306899574398,0.154975104543627,57
"Niagara",0.758153025085849,0.272046182735573,58
"Niagara",0.773244032142101,0.244370790386593,59
"Niagara",0.788329247967914,0.219806566057592,60
"Niagara",0.803416675266559,0.494083682754161,61
"Oneida",-0.0140460730399918,-0.149095925631612,1
"Oneida",-0.0169878861960696,0.740269687198314,2
"Oneida",-0.0133200721098352,-0.303057007664069,3
"Oneida",-0.0139196548112705,-0.298306779449528,4
"Oneida",-0.0112392655272273,-0.264710397388831,5
"Oneida",-0.00966636440282965,-0.221498630712752,6
"Oneida",-0.0114367096306548,-0.178286864036672,7
"Oneida",-0.0114828257528536,-0.135075097360592,8
"Oneida",-0.011596237105437,-0.0918633306845127,9
"Oneida",-0.0122444567597707,0.951348435991568,10
"Oneida",-0.0117437162908018,-0.005439797332353,11
"Oneida",-0.0115397501545535,6.03777196934373,12
"Oneida",-0.0117062719063066,7.08098373601981,13
"Oneida",-0.0115270640017865,6.12419550269589,14
"Oneida",-0.011593087177752,12.167407269372,15
"Oneida",-0.011723184880122,13.210619036048,16
"Oneida",-0.0116438399624839,13.2538308027241,17
"Oneida",-0.0116632660944899,13.2970425694002,18
"Oneida",-0.0116817151938654,63.3402543360763,19
"Oneida",-0.0116309047600247,40.3834661027524,20
"Oneida",-0.0116482099668659,45.4266778694284,21
"Oneida",-0.0116594880327328,36.4698896361045,22
"Oneida",-0.0116442831823083,24.5131014027806,23
"Oneida",-0.0116569994491563,13.5563131694567,24
"Oneida",-0.0116581252069911,13.5995249361328,25
"Oneida",-0.0116497418027059,-8.79957098949885,26
"Oneida",-0.0116548110888102,-8.79482076128431,27
"Oneida",-0.011653832748748,-5.83814745614669,28
"Oneida",-0.0116511204581399,-0.621858766393688,29
"Oneida",-0.0116542330359909,1.95981453874393,30
"Oneida",-0.0116535679047488,4.60879553618924,31
"Oneida",-0.0116526572548888,6.21931499517301,32
"Oneida",-0.0116539250560954,6.8202190695414,33
"Oneida",-0.0116532690382304,7.02689237467902,34
"Oneida",-0.0116529762654836,7.21433491058587,35
"Oneida",-0.0116535458598095,7.35370052341579,36
