"","County","ARIMA","HW","Time_Period"
"59","Albany","5.74255981830878e-05","1.21695008188351","58"
"60","Albany","5.69845621564765e-05","0.442966534351227","59"
"61","Albany","5.6994687292104e-05","1.28357934866148","60"
"62","Albany","5.67915124288812e-05","1.80938238820058","61"
"63","Allegany","0.788706319072283","-0.183406503904588","1"
"64","Allegany","1.28794759801233","-0.220458993382521","2"
"65","Allegany","1.60396111098997","-0.32720028857653","3"
"66","Allegany","1.80399372967986","-0.422094243480825","4"
"67","Allegany","1.93061188648877","-0.513948964629028","5"
"68","Allegany","2.17547579309687","-0.143200980899844","6"
"69","Allegany","2.06149210969234","-0.788791858843346","7"
"70","Allegany","2.09360515464672","-0.618377836986233","8"
"71","Allegany","2.27864850223595","-0.207418535520419","9"
"72","Allegany","2.12679914986274","-0.392414765099004","10"
"73","Allegany","2.29965988787346","0.250466765883262","11"
"74","Allegany","2.46953147535036","0.505523505792073","12"
"75","Allegany","2.42550779362875","0.42571758358963","13"
"76","Allegany","2.75700580342937","1.451079618301","14"
"77","Allegany","2.4761679254726","1.66053514613899","15"
"78","Allegany","2.87657016981577","3.64974865296794","16"
"79","Allegany","7.27399118561418","19.6262626341746","17"
"80","Allegany","4.40400534795953","7.52648112261066","18"
"81","Allegany","4.44992573090333","9.18925678115972","19"
"82","Allegany","2.84545415732973","12.1643720116532","20"
"83","Allegany","5.97672238071226","16.1477937744105","21"
"84","Allegany","3.01661372418301","-1.28528913309107","22"
"85","Allegany","2.61864932964448","-2.60705540361997","23"
"86","Allegany","3.22867192734517","4.45354817429162","24"
"87","Allegany","1.86209241634358","3.43797056497775","25"
"88","Allegany","3.72441905488356","3.83708013415973","26"
"89","Allegany","3.20584414827629","2.42984311319008","27"
"90","Allegany","3.04113138267166","2.39537289625916","28"
"91","Allegany","2.87799386912561","-1.19718129516346","29"
"92","Allegany","2.33655968704586","-1.86626941587263","30"
"93","Allegany","2.10170214378136","-2.64630286282857","31"
"94","Allegany","2.31370586766341","-1.83302154224526","32"
"95","Allegany","2.26641923152402","-1.16645399098389","33"
"96","Allegany","2.14899024591151","-1.47435255367214","34"
"97","Allegany","2.14899038533983","-1.03145758183288","35"
"98","Allegany","2.14899047359622","-0.665173118940085","36"
"99","Allegany","2.14899052946141","-0.353690811959039","37"
"100","Allegany","2.14899056482338","-0.0815508484726797","38"
"101","Allegany","2.14899058720707","0.161444106435684","39"
"102","Allegany","2.14899060137567","0.38124252453997","40"
"103","Allegany","2.14899061034421","0.581162764408188","41"
"104","Allegany","2.14899061602119","0.763191760855235","42"
"105","Allegany","2.14899061961465","0.928307337088319","43"
"106","Allegany","2.14899062188926","1.07617052297917","44"
"107","Allegany","2.14899062332906","1.20342083155952","45"
"108","Allegany","2.14899062424044","1.30300822056608","46"
"109","Allegany","2.14899062481733","1.37079084544006","47"
"110","Allegany","2.14899062518249","1.40518517255763","48"
"111","Allegany","2.14899062541364","1.40633392267424","49"
"112","Allegany","2.14899062555995","1.37841520637756","50"
"113","Allegany","2.14899062565256","1.32664737419459","51"
"114","Allegany","2.14899062571119","1.26360752381702","52"
"115","Allegany","2.27890332566052","1.11662337742385","53"
"116","Allegany","2.36113644704536","1.07957088794592","54"
"117","Allegany","2.41318898890871","0.972829592751908","55"
"118","Allegany","2.44613759974589","0.877935637847613","56"
"119","Allegany","2.46699366012715","0.78608091669941","57"
"120","Allegany","2.4600397257732","1.15682890042859","58"
"121","Allegany","2.4885517518467","0.511238022485091","59"
"122","Allegany","2.49384129026263","0.681652044342205","60"
"123","Allegany","2.47703394134017","1.09261134580802","61"
"124","Bronx","8.78212761400102e-200","6.26752901115788","1"
"125","Bronx","1.32164065593555e-199","0.573519560777299","2"
"126","Bronx","1.5455366254483e-199","9.90835626424288","3"
"127","Bronx","1.65858635863338e-199","8.3489621984777","4"
"128","Bronx","1.71566752092956e-199","6.77033736348173","5"
"129","Bronx","1.7444889873522e-199","17.2109432977165","6"
"130","Bronx","1.75904154538249e-199","30.6707800011821","7"
"131","Bronx","1.76638943469942e-199","41.1113859354169","8"
"132","Bronx","1.77009953688911e-199","53.5519918696517","9"
"133","Bronx","1.77197284467373e-199","120.992597803887","10"
"134","Bronx","1.77291871674854e-199","177.433203738121","11"
"135","Bronx","1.77339630723807e-199","193.873809672356","12"
"136","Bronx","1.77363745261256e-199","215.314415606591","13"
"137","Bronx","1.77375921192919e-199","157.755021540826","14"
"138","Bronx","1.77382069074137e-199","174.195627475061","15"
"139","Bronx","1.77385173267272e-199","102.636233409295","16"
"140","Bronx","1.77386740638968e-199","91.0768393435302","17"
"141","Bronx","1.77387532037547e-199","79.517445277765","18"
"142","Bronx","1.77387931631155e-199","91.9580512119998","19"
"143","Bronx","1.77388133394281e-199","75.3986571462344","20"
"144","Bronx","1.77388235268681e-199","63.8392630804695","21"
"145","Bronx","1.77388286707185e-199","55.2798690147043","22"
"146","Bronx","1.77388312679556e-199","30.7204749489391","23"
"147","Bronx","1.77388325793546e-199","30.1610808831739","24"
"148","Bronx","1.77388332415073e-199","26.6016868174087","25"
"149","Bronx","1.77388335758419e-199","26.9172927516435","26"
"150","Bronx","1.77388337446545e-199","24.5598217628014","27"
"151","Bronx","1.77388338298914e-199","25.2119661585747","28"
"152","Bronx","1.77388338729293e-199","32.0468028620402","29"
"153","Bronx","1.77388338946601e-199","28.362408796275","30"
"154","Bronx","1.77388339056324e-199","29.533783961279","31"
"155","Bronx","1.77388339111725e-199","35.9936206647446","32"
"156","Bronx","1.77388339139698e-199","32.924611214364","33"
"157","Bronx","1.77388339153823e-199","34.4421402255219","34"
"158","Bronx","1.77388339160954e-199","35.5269769289875","35"
"159","Bronx","1.77388339164555e-199","35.5733520939916","36"
"160","Bronx","1.77388339166373e-199","34.3697272589956","37"
"161","Bronx","1.77388339167292e-199","32.4545639624612","38"
"162","Bronx","1.77388339167755e-199","30.1836314351575","39"
"163","Bronx","1.77388339167989e-199","27.9992373693923","40"
"164","Bronx","1.77388339168107e-199","25.9302279190117","41"
"165","Bronx","1.77388339168167e-199","24.3804492378619","42"
"166","Bronx","1.77388339168197e-199","23.6095167105583","43"
"167","Bronx","1.77388339168212e-199","22.9443534140239","44"
"168","Bronx","1.7738833916822e-199","22.269574732874","45"
"169","Bronx","1.77388339168224e-199","21.5851806671089","46"
"170","Bronx","1.77388339168226e-199","21.0257866013437","47"
"171","Bronx","1.77388339168227e-199","20.6010079201939","48"
"172","Bronx","1.77388339168227e-199","20.5031523159671","49"
"173","Bronx","1.77388339168228e-199","20.6360659425096","50"
"174","Bronx","1.77388339168228e-199","20.7593641844367","51"
"175","Bronx","1.77388339168228e-199","22.91150858021","52"
"176","Bronx","1.77388339168228e-199","29.1790375913679","53"
"177","Bronx","1.77388339168228e-199","23.4850281409873","54"
"178","Bronx","1.77388339168228e-199","32.8198648444529","55"
"179","Bronx","1.77388339168228e-199","31.2604707786877","56"
"180","Bronx","1.77388339168228e-199","29.6818459436917","57"
"181","Bronx","1.77388339168228e-199","40.1224518779266","58"
"182","Bronx","1.77388339168228e-199","53.5822885813921","59"
"183","Bronx","1.77388339168228e-199","64.0228945156269","60"
"184","Bronx","1.77388339168228e-199","76.4635004498617","61"
"185","Broome","2.01184162679005","-0.0980627533048608","1"
"186","Broome","3.62455905884929","-0.0774491517181932","2"
"187","Broome","5.68779781787065","-0.0279893962853741","3"
"188","Broome","7.94789101963535","0.01185497453206","4"
"189","Broome","9.32836205740472","0.0613147299648809","5"
"190","Broome","9.94231219655878","0.130005254628468","6"
"191","Broome","10.6090198881852","0.208311163907441","7"
"192","Broome","11.368772003258","1.2962324578018","8"
"193","Broome","10.6027387560747","1.38415375169616","9"
"194","Broome","12.0455154673672","2.47207504559052","10"
"195","Broome","13.8264618125459","2.55999633948487","11"
"196","Broome","17.4664675296139","2.64791763337923","12"
"197","Broome","16.6775266223771","10.7358389272736","13"
"198","Broome","21.38852440991","14.8237602211679","14"
"199","Broome","27.8242116086263","19.9116815150623","15"
"200","Broome","28.3318903758981","16.9996028089567","16"
"201","Broome","131.048175801578","29.087524102851","17"
"202","Broome","112.216546379203","41.1754453967454","18"
"203","Broome","128.959202989718","47.2633666906397","19"
"204","Broome","113.27083227605","61.3512879845341","20"
"205","Broome","50.7769717909736","55.4392092784285","21"
"206","Broome","35.3637425875677","30.5271305723228","22"
"207","Broome","22.036005176457","21.6150518662172","23"
"208","Broome","26.1284495184995","15.7029731601115","24"
"209","Broome","16.5784582759079","6.79089445400589","25"
"210","Broome","22.4351680678229","-2.92887655979207","26"
"211","Broome","23.4923755370789","-2.75441680435924","27"
"212","Broome","17.427492797655","-1.69534166431104","28"
"213","Broome","21.4617927809458","1.12334886035255","29"
"214","Broome","19.4444782587499","4.29780861578537","30"
"215","Broome","16.2445089702342","6.77034529429511","31"
"216","Broome","11.9723986219781","8.42557428049716","32"
"217","Broome","11.6200052544967","9.2154186513146","33"
"218","Broome","10.7384321186475","9.62064763751665","34"
"219","Broome","10.7384336669191","9.76626123910331","35"
"220","Broome","10.7384333251972","9.90225945607459","36"
"221","Broome","10.7384328265613","10.0190269038151","37"
"222","Broome","10.7384330813939","10.0781020438633","38"
"223","Broome","10.7384331432952","10.0794848762192","39"
"224","Broome","10.7384330659269","9.98471386242126","40"
