"","County","Period","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW","Latitude","Longitude"
"3596","Chautauqua","2013-2014",2014-06-14,0,0,0,0,0,42.3042159,-79.4075949
"3597","Chautauqua","2009-2010",2009-11-14,53,0,0,0,0,42.3042159,-79.4075949
"3598","Chautauqua","2016-2017",2017-04-22,11,0,0,0,0,42.3042159,-79.4075949
"3599","Chautauqua","2015-2016",2016-05-14,7,0,0,0,0,42.3042159,-79.4075949
"3600","Chautauqua","2018-2019",2019-03-23,87,3,-84,19,-68,42.3042159,-79.4075949
"3601","Chautauqua","2018-2019",2018-11-10,2,0,-2,0,-2,42.3042159,-79.4075949
"3602","Chautauqua","2010-2011",2011-02-05,11,0,0,0,0,42.3042159,-79.4075949
"3603","Chautauqua","2014-2015",2014-10-25,0,0,0,0,0,42.3042159,-79.4075949
"3604","Chautauqua","2013-2014",2014-07-26,0,0,0,0,0,42.3042159,-79.4075949
"3605","Chautauqua","2017-2018",2018-07-07,0,0,0,0,0,42.3042159,-79.4075949
"3606","Chautauqua","2016-2017",2016-10-08,1,0,0,0,0,42.3042159,-79.4075949
"3607","Chautauqua","2010-2011",2010-12-04,0,0,0,0,0,42.3042159,-79.4075949
"3608","Chautauqua","2013-2014",2014-08-23,0,0,0,0,0,42.3042159,-79.4075949
"3609","Chautauqua","2016-2017",2017-06-17,0,0,0,0,0,42.3042159,-79.4075949
"3610","Chautauqua","2012-2013",2013-09-28,0,0,0,0,0,42.3042159,-79.4075949
"3611","Chautauqua","2015-2016",2016-07-09,0,0,0,0,0,42.3042159,-79.4075949
"3612","Chautauqua","2012-2013",2013-06-15,0,0,0,0,0,42.3042159,-79.4075949
"3613","Chautauqua","2013-2014",2013-10-12,0,0,0,0,0,42.3042159,-79.4075949
"3614","Chautauqua","2013-2014",2014-09-20,0,0,0,0,0,42.3042159,-79.4075949
"3615","Chautauqua","2017-2018",2018-06-23,0,0,0,0,0,42.3042159,-79.4075949
"3616","Chautauqua","2009-2010",2010-02-20,0,0,0,0,0,42.3042159,-79.4075949
"3617","Chautauqua","2014-2015",2014-10-04,0,0,0,0,0,42.3042159,-79.4075949
"3618","Chautauqua","2010-2011",2011-04-09,11,0,0,0,0,42.3042159,-79.4075949
"3619","Chautauqua","2009-2010",2010-03-06,0,0,0,0,0,42.3042159,-79.4075949
"3620","Chautauqua","2011-2012",2012-01-21,0,0,0,0,0,42.3042159,-79.4075949
"3621","Chautauqua","2014-2015",2014-10-18,0,0,0,0,0,42.3042159,-79.4075949
"3622","Chautauqua","2012-2013",2013-01-12,55,0,0,0,0,42.3042159,-79.4075949
"3623","Chautauqua","2010-2011",2011-02-26,42,0,0,0,0,42.3042159,-79.4075949
"3624","Chautauqua","2011-2012",2012-02-04,0,0,0,0,0,42.3042159,-79.4075949
"3625","Chautauqua","2013-2014",2014-08-02,0,0,0,0,0,42.3042159,-79.4075949
"3626","Chautauqua","2011-2012",2012-09-29,0,0,0,0,0,42.3042159,-79.4075949
"3627","Chautauqua","2015-2016",2016-06-18,0,0,0,0,0,42.3042159,-79.4075949
"3628","Chautauqua","2009-2010",2010-03-13,0,0,0,0,0,42.3042159,-79.4075949
"3629","Chautauqua","2016-2017",2016-10-29,0,0,0,0,0,42.3042159,-79.4075949
"3630","Chautauqua","2014-2015",2014-12-27,0,0,0,0,0,42.3042159,-79.4075949
"3631","Chautauqua","2017-2018",2018-03-10,62,0,0,0,0,42.3042159,-79.4075949
"3632","Chautauqua","2017-2018",2017-10-21,0,0,0,0,0,42.3042159,-79.4075949
"3633","Chautauqua","2014-2015",2015-01-10,0,0,0,0,0,42.3042159,-79.4075949
"3634","Chautauqua","2016-2017",2017-07-08,0,0,0,0,0,42.3042159,-79.4075949
"3635","Chautauqua","2017-2018",2017-11-04,2,0,0,0,0,42.3042159,-79.4075949
"3636","Chautauqua","2013-2014",2014-03-01,14,0,0,0,0,42.3042159,-79.4075949
"3637","Chautauqua","2010-2011",2011-05-07,0,0,0,0,0,42.3042159,-79.4075949
"3638","Chautauqua","2018-2019",2018-10-27,1,0,-1,1,0,42.3042159,-79.4075949
"3639","Chautauqua","2019-2020",2019-10-19,2,0,-2,6,4,42.3042159,-79.4075949
"3640","Chautauqua","2009-2010",2010-06-26,0,0,0,0,0,42.3042159,-79.4075949
"3641","Chautauqua","2010-2011",2011-01-01,2,0,0,0,0,42.3042159,-79.4075949
"3642","Chautauqua","2010-2011",2010-10-09,0,0,0,0,0,42.3042159,-79.4075949
"3643","Chautauqua","2009-2010",2010-09-18,0,0,0,0,0,42.3042159,-79.4075949
"3644","Chautauqua","2010-2011",2011-03-26,30,0,0,0,0,42.3042159,-79.4075949
"3645","Chautauqua","2013-2014",2014-06-21,0,0,0,0,0,42.3042159,-79.4075949
"3646","Chautauqua","2011-2012",2012-02-11,0,0,0,0,0,42.3042159,-79.4075949
"3647","Chautauqua","2013-2014",2014-08-09,0,0,0,0,0,42.3042159,-79.4075949
"3648","Chautauqua","2010-2011",2011-03-19,30,0,0,0,0,42.3042159,-79.4075949
"3649","Chautauqua","2009-2010",2010-04-24,0,0,0,0,0,42.3042159,-79.4075949
"3650","Chautauqua","2018-2019",2019-05-04,2,2,0,9,7,42.3042159,-79.4075949
"3651","Chautauqua","2009-2010",2010-08-21,0,0,0,0,0,42.3042159,-79.4075949
"3652","Chautauqua","2009-2010",2010-05-08,0,0,0,0,0,42.3042159,-79.4075949
"3653","Chautauqua","2015-2016",2016-04-09,9,0,0,0,0,42.3042159,-79.4075949
"3654","Chautauqua","2011-2012",2012-02-18,0,0,0,0,0,42.3042159,-79.4075949
"3655","Chautauqua","2014-2015",2015-01-17,0,0,0,0,0,42.3042159,-79.4075949
"3656","Chautauqua","2010-2011",2010-12-11,0,0,0,0,0,42.3042159,-79.4075949
"3657","Chautauqua","2016-2017",2017-07-15,0,0,0,0,0,42.3042159,-79.4075949
"3658","Chautauqua","2009-2010",2010-05-01,0,0,0,0,0,42.3042159,-79.4075949
"3659","Chautauqua","2013-2014",2014-07-05,0,0,0,0,0,42.3042159,-79.4075949
"3660","Chautauqua","2010-2011",2011-01-29,7,0,0,0,0,42.3042159,-79.4075949
"3661","Chautauqua","2012-2013",2013-06-22,0,0,0,0,0,42.3042159,-79.4075949
"3662","Chautauqua","2013-2014",2014-07-19,0,0,0,0,0,42.3042159,-79.4075949
"3663","Chautauqua","2009-2010",2010-03-20,0,0,0,0,0,42.3042159,-79.4075949
"3664","Chautauqua","2010-2011",2011-02-12,29,0,0,0,0,42.3042159,-79.4075949
"3665","Chautauqua","2009-2010",2010-04-03,1,0,0,0,0,42.3042159,-79.4075949
"3666","Chautauqua","2014-2015",2014-10-11,0,0,0,0,0,42.3042159,-79.4075949
"3667","Chautauqua","2017-2018",2018-07-14,0,0,0,0,0,42.3042159,-79.4075949
"3668","Chautauqua","2013-2014",2014-07-12,0,0,0,0,0,42.3042159,-79.4075949
"3669","Chautauqua","2009-2010",2010-06-12,0,0,0,0,0,42.3042159,-79.4075949
"3670","Chautauqua","2016-2017",2017-09-02,0,0,0,0,0,42.3042159,-79.4075949
"3671","Chautauqua","2017-2018",2017-11-11,1,0,0,0,0,42.3042159,-79.4075949
"3672","Chautauqua","2010-2011",2010-12-25,0,0,0,0,0,42.3042159,-79.4075949
"3673","Chautauqua","2009-2010",2010-08-28,0,0,0,0,0,42.3042159,-79.4075949
"3674","Chautauqua","2010-2011",2011-01-22,5,0,0,0,0,42.3042159,-79.4075949
"3675","Chautauqua","2013-2014",2013-10-19,0,0,0,0,0,42.3042159,-79.4075949
"3676","Chautauqua","2010-2011",2011-01-08,5,0,0,0,0,42.3042159,-79.4075949
